3140
qstr_Next_Page Next_Page
qstr_Siege_reinforcement_ Siege_reinforcement_waves_
qstr_36 36
qstr_32 32
qstr_28 28
qstr_24 24
qstr_20 20
qstr_Enhanced_horse_arche Enhanced_horse_archers_AI_
qstr_Disabled Disabled
qstr_NPCs_only NPCs_only
qstr_All_units All_units
qstr_Garrison_left_by_AI_ Garrison_left_by_AI_in_taken_fief_
qstr_Large__default_ Large_(default)
qstr_Medium Medium
qstr_Small Small
qstr_Disable_troop_routin Disable_troop_routing_
qstr_Enable_Formations_ Enable_Formations_
qstr_Battle_interface Battle_interface
qstr_Show_personal_kill_c Show_personal_kill_count_
qstr_Battle_ratio_bar_ Battle_ratio_bar_
qstr_shows_proportion_of_ shows_proportion_of_soldiers_alive_on_each_side
qstr_Ratio_bar_shows_rese Ratio_bar_shows_reserve_forces_too_
qstr_reports_global_battl reports_global_battle_forces_including_reinforcements
qstr_Display_a_message_on Display_a_message_on_ally_death_
qstr_best_with__report_ca best_with_'report_casualties'_ticked_off
qstr_Display_a_message_on_ Display_a_message_on_player_kill_
qstr_Custom_Knighthood_Or Custom_Knighthood_Order
qstr_Chance_of_stats_upgr Chance_of_stats_upgrade_during_18hr_training_session_
qstr_1.5% 1.5%
qstr_2% 2%
qstr_3%__Default_ 3%_(Default)
qstr_4% 4%
qstr_5.5% 5.5%
qstr_7.5% 7.5%
qstr_10% 10%
qstr_13% 13%
qstr_17% 17%
qstr_25% 25%
qstr_50% 50%
qstr_Equipment_cost_ Equipment_cost_
qstr_200% 200%
qstr_150% 150%
qstr_120% 120%
qstr_110% 110%
qstr_100%__Default_ 100%_(Default)
qstr__90% _90%
qstr__80% _80%
qstr__60% _60%
qstr__40% _40%
qstr__20% _20%
qstr__10% _10%
qstr_Equipping_time_ Equipping_time_
qstr_Miscellaneous Miscellaneous
qstr_Fade_from_black_ Fade_from_black_
qstr_when_entering_a_room when_entering_a_room
qstr_Lords_don_t_bring_fi Lords_don't_bring_fiefs_when_joining_player_
qstr_No_auto_defections_ No_auto-defections_
qstr_Village_requests_in_ Village_requests_in_notifications_only_
qstr_Village_attacks_in_n Village_attacks_in_notifications_only_
qstr_Important_news_only_ Important_news_only_
qstr_Play_companion_dialo Play_companion_dialogs_
qstr_Reinforcement_waves_ Reinforcement_waves_for_normal_battles_have_been_set_to_{reg0}
qstr_Reinforcement_waves_f Reinforcement_waves_for_siege_battles_have_been_set_to_{reg0}
qstr_Others Others
qstr_KOs_Knights KOs_Knights
qstr_KOs_Sergeants KOs_Sergeants
qstr_Mercenaries Mercenaries
qstr_Adventurers Adventurers
qstr_Kingdom_of_Pendor Kingdom_of_Pendor
qstr_Close Close
qstr_Click_the_avatars_to Click_the_avatars_to_view_details_of_them
qstr_Level:_{reg3}^Health Level:_{reg3}^Health:_{reg4}
qstr_Attributes Attributes
qstr_STR^AGI^INT^CHA STR^AGI^INT^CHA
qstr_{reg2} {reg2}
qstr_{s1}^{reg2} {s1}^{reg2}
qstr_Skills Skills
qstr_Ironflesh^Power_Stri Ironflesh^Power_Strike^Power_Throw^Power_Draw^Shield^Athletics^Riding^Horse_Archery
qstr_Proficiencies Proficiencies
qstr_1H_Weapons^2H_Weapon 1H_Weapons^2H_Weapons^Polearms^Archery^Crossbows^Throwing^Firearms
qstr_Equipment Equipment
qstr_0_kills 0_kills
qstr_{reg3}_kill {reg3}_kill
qstr_{reg3}_kills {reg3}_kills
qstr_{!}DEBUG_:_Completed {!}DEBUG_:_Completed_faction_troop_assignments,_cheat_mode:_{reg3}
qstr_{!}ERROR:_Not_enough {!}ERROR:_Not_enough_banners_for_heroes!
qstr_{!}DEBUG____initial_ {!}DEBUG_--_initial_war/peace_check_begins
qstr_{!}DEBUG_:_Completed_ {!}DEBUG_:_Completed_political_events,_cheat_mode:_{reg3}
qstr_{!}DEBUG_:_Assigned_ {!}DEBUG_:_Assigned_love_interests._Attraction_seed:_{reg3}
qstr_{!}DEBUG_:_Located_k {!}DEBUG_:_Located_kingdom_ladies,_cheat_mode:_{reg3}
qstr_{!}DEBUG_:_SYSTEM_ER {!}DEBUG_:_SYSTEM_ERROR!
qstr_{!}DEBUG_:_Prisoner_ {!}DEBUG_:_Prisoner_granted_parole
qstr_{!}DEBUG_:_Prisoner_n {!}DEBUG_:_Prisoner_not_offered_parole
qstr_{s1}_of_the_{s3}_was {s1}_of_the_{s3}_was_defeated_in_battle_but_managed_to_escape.
qstr_The_{s2}_have_sacked The_{s2}_have_sacked_{s1}.
qstr_{!}DEBUG_:_Siege_att {!}DEBUG_:_Siege_attackers_are_running_away
qstr_{!}DEBUG:_{s1}_no_lo {!}DEBUG:_{s1}_no_longer_leads_a_party.
qstr_{!}DEBUG:_{s1}_is_no {!}DEBUG:_{s1}_is_no_longer_a_prisoner.
qstr_{!}DEBUG:_{s1}_is_now {!}DEBUG:_{s1}_is_now_a_prisoner_of_player.
qstr_{!}DEBUG:_{s1}_is_now_ {!}DEBUG:_{s1}_is_now_a_prisoner_of_{s2}.
qstr_{s54}_is_a_claimant_ {s54}_is_a_claimant_to_the_throne_of_{s56}.
qstr_no_holdings no_holdings
qstr_{s57}_and_{s58} {s57}_and_{s58}
qstr_{!}{s57}_{s58} {!}{s57},_{s58}
qstr_{reg3?She:He} {reg3?She:He}
qstr_{!}^{s59} {!}^{s59}
qstr_The_town_of_{s50} The_town_of_{s50}
qstr_The_village_of_{s50} The_village_of_{s50}_near_{s52}
qstr_{!}{s50} {!}{s50}
qstr_{s51}_belongs_to_{s1 {s51}_belongs_to_{s1}_of_{s2}.^
qstr_{s2}There_is_a_chapt {s2}There_is_a_chapterhouse_of_the_{s1}_here.^
qstr_{s2}Garrison_trainin {s2}Garrison_training_is_enabled.^
qstr_{s2}Garrison_training {s2}Garrison_training_is_disabled.^
qstr_{s7}_and_{s8} {s7}_and_{s8}
qstr_{!}{s7}_{s8} {!}{s7},_{s8}
qstr_{s2}It_has_no_villag {s2}It_has_no_villages.^
qstr_{s2}{reg0?Its_villag {s2}{reg0?Its_villages_are:Its_village_is}_{s8}.^
qstr_{s2}Its_prosperity_i {s2}Its_prosperity_is:_{s50}
qstr_noone noone
qstr_{s9}_and_{s10} {s9}_and_{s10}
qstr_{!}{s9}_{s10} {!}{s9},_{s10}
qstr_{!}DEBUG_:_{s21}.^CH {!}DEBUG_:_{s21}.^CHEAT_MODE_ASSESSMENT:_{s14}^
qstr_{s5}_has_been_defeat {s5}_has_been_defeated!
qstr_{!}ERROR:_Invalid_lo {!}ERROR:_Invalid_lord_-_don't_tamper_with_the_troops_file_or_use_WSE!
qstr_{!}DEBUG____Assigned {!}DEBUG_--_Assigned_lord_reputation_and_relations
qstr_{!}ERROR:_Invalid_nu {!}ERROR:_Invalid_number_of_lords_or_ladies_-_don't_tamper_with_the_troops_file_or_use_WSE!
qstr_{s7}_opened_the_gate {s7}_opened_the_gate
qstr_{s7}_closed_the_gate {s7}_closed_the_gate
qstr_+{reg1}_to_party_mor +{reg1}_to_party_morale
qstr_Requires_{reg1}_inte Requires_{reg1}_intelligence_to_read
qstr_Reading_Progress:_{r Reading_Progress:_{reg1}%
qstr_Improves_Noldor_rela Improves_Noldor_relations
qstr_Quest_item Quest_item
qstr_wound_treatment wound_treatment
qstr_trainer trainer
qstr_surgery surgery
qstr_+2_to_{s1}_while_in_ +2_to_{s1}_while_in_inventory
qstr_+1_to_{s1}_while_in_ +1_to_{s1}_while_in_inventory
qstr__interesting_to_Orde (interesting_to_Orders)
qstr_Missile_speed:_{reg3 Missile_speed:_{reg33}
qstr_Upgrade_cost:_{reg0} Upgrade_cost:_{reg0}
qstr_Time_to_upgrade:_{re Time_to_upgrade:_{reg1}_days
qstr_Move_here Move_here
qstr_View_notes View_notes
qstr_Unstick_from_River Unstick_from_River
qstr_Accompany Accompany
qstr_Party_strength:_{reg Party_strength:_{reg0}
qstr_Party_no:_{reg0} Party_no:_{reg0}
qstr_{!}_{s61} {!}_{s61}
qstr_{!}DEBUG____ERROR:_M {!}DEBUG_--_ERROR:_More_than_15_trade_routes_are_given_for_{s1}.
qstr_{!}DEBUG____Caravan_ {!}DEBUG_--_Caravan_trades_in_{s4},_originally_from_{s5}
qstr_{!}New_tariffs_at_{s {!}New_tariffs_at_{s4}_=_{reg4},_total_=_{reg5}
qstr_{!}{s4}_is_sent_to_{ {!}{s4}_is_sent_to_{s5}_after_defeat
qstr_{!}DEBUGS_:_enemy_lo {!}DEBUGS_:_enemy_loses_:_{reg0}
qstr_{!}DEBUGS1_:_total_g {!}DEBUGS1_:_total_gain_:_{reg0}
qstr_{!}DEBUGS2_:_total_g {!}DEBUGS2_:_total_gain_:_{reg0}
qstr_{!}DEBUGS3_:_num_pla {!}DEBUGS3_:_num_player_party_shares:{reg0},_total_gain:{reg1}
qstr_killed killed
qstr_wounded wounded
qstr_{!}{reg3?{reg3}:}_{s {!}{reg3?{reg3}:}_{s1}_({s2})
qstr_{!}{s0}_{reg3?{reg3} {!}{s0},_{reg3?{reg3}:}_{s1}_({s2})
qstr_{!}{s0}^{reg3?{reg3} {!}{s0}^{reg3?{reg3}:}_{s1}_({s2})
qstr_{s0}^TOTAL:_{reg3}__ {s0}^TOTAL:_{reg3}_({s2})
qstr_^None ^None
qstr_nothing nothing
qstr_{reg0}_village{reg1? {reg0}_village{reg1?s:}
qstr_{reg0}_castle{reg1?s {reg0}_castle{reg1?s:}
qstr_{reg0}_castle{reg1?s: {reg0}_castle{reg1?s:}_and_{s0}
qstr_{reg0}_town{reg1?s:} {reg0}_town{reg1?s:}
qstr_{reg0}_town{reg1?s:}_ {reg0}_town{reg1?s:}_and_{s0}
qstr_{reg0}_town{reg1?s:}_{ {reg0}_town{reg1?s:},_{s0}
qstr_Your_opponents_are_r Your_opponents_are_ready_for_the_fight.
qstr_Try_to_destroy_as_ma Try_to_destroy_as_many_targets_as_you_can._You_have_two_and_a_half_minutes_to_clear_the_track.
qstr_Stay_behind_the_line Stay_behind_the_line_on_the_ground_and_shoot_the_targets._Try_not_to_waste_any_shots.
qstr_{!}DEBUG____inflict_ {!}DEBUG_-_'inflict_casualties_to_party'_script
qstr_{!}DEBUG____Checking {!}DEBUG_--_Checking_for_denounce_lord,_eligible_in_{reg4}_days
qstr_{!}DEBUG____Rival_fo {!}DEBUG_--_Rival_found_in_{s4}
qstr_{!}DEBUG____{s4}_is_ {!}DEBUG_--_{s4}_is_not_close_friend_of_player
qstr_{!}DEBUG____{s4}_has {!}DEBUG_--_{s4}_has_{reg3}_rivals
qstr_{!}DEBUG____Checking_ {!}DEBUG_--_Checking_for_intrigue,_eligible_in_{reg4}_days
qstr_{!}DEBUG____Trying_f {!}DEBUG_--_Trying_for_intrigue_against_lord
qstr_{!}DEBUG____{s4}_has_ {!}DEBUG_--_{s4}_has_sufficiently_low_relation_with_liege
qstr_{!}DEBUG____{s4}_has_s {!}DEBUG_--_{s4}_has_sufficiently_low_relation_with_giver_troop
qstr_{!}DEBUG____{s4}_has_su {!}DEBUG_--_{s4}_has_sufficiently_low_relation_with_player
qstr_{!}DEBUG____Checking_f {!}DEBUG_--_Checking_for_resolve_dispute,_eligible_in_{reg4}_days
qstr_{!}DEBUG____Checking_fo {!}DEBUG_--_Checking_for_offer_gift,_eligible_in_{reg4}_days
qstr_Battle_Advantage_=_{ Battle_Advantage_=_{reg0}.
qstr_{s9}_wants_you_to_re {s9}_wants_you_to_resume_following_his_army_until_further_notice.
qstr_{!}DEBUG___{s4}_fact {!}DEBUG_-_{s4}_faction_changed_in_normal_faction_change
qstr_{s0}_fails_to_bring_ {s0}_fails_to_bring_over_any_centers_to_your_faction!
qstr_{!}DEBUG___{s4}_facti {!}DEBUG_-_{s4}_faction_changed_by_guardian_moving
qstr_{s4}_is_awarded_to_{ {s4}_is_awarded_to_{s5}_of_the_{s6}.
qstr_From_now_{s4}_belong From_now_{s4}_belongs_to_{s5}_of_the_{s6}.
qstr__Word_reaches_you_th _Word_reaches_you_that_Meregan_Kierlic_has_brought_together_the_Griffonsword_Adventuring_Company_under_the_banner_of_King_Ulric!
qstr__Word_reaches_you_tha _Word_reaches_you_that_Kodan_Ironsword_has_gathered_nobles_and_knights_and_has_joined_King_Ulric!
qstr__Word_reaches_you_that _Word_reaches_you_that_King_Ulric_of_Sarleon_has_employed_the_Free_Company!
qstr__Word_reaches_you_that_ _Word_reaches_you_that_King_Ulric_of_Sarleon_has_employed_a_Mettenheim_Mercenary_Company!
qstr__Word_reaches_you_Sy _Word_reaches_you_Syla_Uzas,_a_renowned_Immortal_warrior_of_the_Empire,_has_gathered_together_a_small_army_of_veteran_Legionnaires_and_has_joined_King_Ulric!
qstr__Word_reaches_you_that_K _Word_reaches_you_that_King_Ulric_of_Sarleon_has_employed_a_Veccavi_Mercenary_Company!
qstr__Word_reaches_you_that_Ki _Word_reaches_you_that_King_Ulric_of_Sarleon_has_employed_the_Freybrueder!
qstr__Word_reaches_you_that_Kin _Word_reaches_you_that_King_Ulric_of_Sarleon_has_employed_the_Veccavi_Renegades!
qstr__Word_reaches_you_that_King _Word_reaches_you_that_King_Ulric_of_Sarleon_has_employed_the_Primera_Guardia_Real!
qstr__Word_reaches_you_that_King_ _Word_reaches_you_that_King_Ulric_of_Sarleon_has_employed_the_Sarno_Expedition!
qstr__Word_reaches_you_that_King_U _Word_reaches_you_that_King_Ulric_of_Sarleon_has_employed_the_1st_Banneret_of_Marleons!
qstr__Word_reaches_you_that_King_Ul _Word_reaches_you_that_King_Ulric_of_Sarleon_has_employed_the_Snowlion_Brigade!
qstr__Word_reaches_you_that_King_Ulr _Word_reaches_you_that_King_Ulric_of_Sarleon_has_employed_a_Unicorn_Knight_company!
qstr__Word_reaches_you_that_King_Ulri _Word_reaches_you_that_King_Ulric_of_Sarleon_has_employed_a_Mercenary_Company!
qstr__Word_reaches_you_that_O _Word_reaches_you_that_Oswald_de_Fleur_has_assembled_all_of_his_Adventuring_Companies_and_has_joined_King_Gregory_IV!
qstr__Word_reaches_you_that_B _Word_reaches_you_that_Boris_the_Raven_has_gathered_a_company_of_Raven_Spear_Knights_and_has_joined_King_Gregory_IV!
qstr__Word_reaches_you_that_Ko _Word_reaches_you_that_Kodan_Ironsword_has_gathered_nobles_and_knights_and_has_joined_King_Gregory_IV!
qstr__Word_reaches_you_that_King_G _Word_reaches_you_that_King_Gregory_IV_of_Ravenstern_has_employed_the_Free_Company!
qstr__Word_reaches_you_that_King_Gr _Word_reaches_you_that_King_Gregory_IV_of_Ravenstern_has_employed_several_Vanskerry_Jarls_as_a_Mercenary_Company!
qstr__Word_reaches_you_that_King_Gre _Word_reaches_you_that_King_Gregory_IV_of_Ravenstern_has_employed_the_Freybrueder!
qstr__Word_reaches_you_that_King_Greg _Word_reaches_you_that_King_Gregory_IV_of_Ravenstern_has_employed_the_Veccavi_Renegades!
qstr__Word_reaches_you_that_King_Grego _Word_reaches_you_that_King_Gregory_IV_of_Ravenstern_has_employed_the_Primera_Guardia_Real!
qstr__Word_reaches_you_that_King_Gregor _Word_reaches_you_that_King_Gregory_IV_of_Ravenstern_has_employed_the_Sarno_Expedition!
qstr__Word_reaches_you_that_King_Gregory _Word_reaches_you_that_King_Gregory_IV_of_Ravenstern_has_employed_a_Unicorn_Knight_company!
qstr__Word_reaches_you_that_King_Gregory_ _Word_reaches_you_that_King_Gregory_IV_of_Ravenstern_has_employed_a_Mercenary_Company!
qstr__Word_reaches_you_that_Bu _Word_reaches_you_that_Burilgi_the_Usurper_has_gathered_an_army_and_now_fights_for_Kadan_Bahadur_Khan!
qstr__Word_reaches_you_that_Ka _Word_reaches_you_that_Kadan_Bahadur_Khan_has_employed_the_Free_Company!
qstr__Word_reaches_you_that_Kad _Word_reaches_you_that_Kadan_Bahadur_Khan_has_employed_a_Mettenheim_Mercenary_Company!
qstr__Word_reaches_you_Syl _Word_reaches_you_Syla_Uzas,_a_renowned_Immortal_warrior_of_the_Empire,_has_gathered_together_a_small_army_of_veteran_Legionnaires_and_has_joined_Kadan_Bahadur_Khan!
qstr__Word_reaches_you_that_Kada _Word_reaches_you_that_Kadan_Bahadur_Khan_has_employed_several_Vanskerry_Jarls_as_a_Mercenary_Company!
qstr__Word_reaches_you_that_Kadan _Word_reaches_you_that_Kadan_Bahadur_Khan_has_employed_Jatu_Warlords_as_a_Mercenary_Company!
qstr__Word_reaches_you_that_Kadan_ _Word_reaches_you_that_Kadan_Bahadur_Khan_has_employed_the_Freybrueder!
qstr__Word_reaches_you_that_Kadan_B _Word_reaches_you_that_Kadan_Bahadur_Khan_has_employed_the_Veccavi_Renegades!
qstr__Word_reaches_you_that_Kadan_Ba _Word_reaches_you_that_Kadan_Bahadur_Khan_has_employed_the_Primera_Guardia_Real!
qstr__Word_reaches_you_that_Kadan_Bah _Word_reaches_you_that_Kadan_Bahadur_Khan_has_employed_the_Sarno_Expedition!
qstr__Word_reaches_you_that_Kadan_Baha _Word_reaches_you_that_Kadan_Bahadur_Khan_has_employed_a_Singalian_Slaver_company!
qstr__Word_reaches_you_that_Kadan_Bahad _Word_reaches_you_that_Kadan_Bahadur_Khan_has_employed_the_Chosen_of_Indar!
qstr__Word_reaches_you_that_Kadan_Bahadu _Word_reaches_you_that_Kadan_Bahadur_Khan_has_employed_a_Singalian_Mercenary_Company!
qstr__Word_reaches_you_that_Bur _Word_reaches_you_that_Burilgi_the_Usurper_has_gathered_an_army_and_now_fights_for_Koningur_Valdis!
qstr__Word_reaches_you_that_M _Word_reaches_you_that_Meregan_Kierlic_has_brought_together_the_Griffonsword_Adventuring_Company_under_the_banner_of_Koningur_Valdis!
qstr__Word_reaches_you_that_Kon _Word_reaches_you_that_Koningur_Valdis_has_employed_a_Mettenheim_Mercenary_Company!
qstr__Word_reaches_you_that_Koni _Word_reaches_you_that_Koningur_Valdis_has_employed_the_Free_Company!
qstr__Word_reaches_you_that_Konin _Word_reaches_you_that_Koningur_Valdis_has_employed_a_Veccavi_Mercenary_Company!
qstr__Word_reaches_you_that_Koning _Word_reaches_you_that_Koningur_Valdis_has_employed_Jatu_Warlords_as_a_Mercenary_Company!
qstr__Word_reaches_you_that_Koningu _Word_reaches_you_that_Koningur_Valdis_has_employed_a_company_of_Barclay_Conquistadores
qstr__Word_reaches_you_that_Koningur _Word_reaches_you_that_Koningur_Valdis_has_employed_the_Freybrueder!
qstr__Word_reaches_you_that_Koningur_ _Word_reaches_you_that_Koningur_Valdis_has_employed_the_Veccavi_Renegades!
qstr__Word_reaches_you_that_Koningur_V _Word_reaches_you_that_Koningur_Valdis_has_employed_the_Primera_Guardia_Real!
qstr__Word_reaches_you_that_Koningur_Va _Word_reaches_you_that_Koningur_Valdis_has_employed_the_Sarno_Expedition!
qstr__Word_reaches_you_that_Koningur_Val _Word_reaches_you_that_Koningur_Valdis_has_employed_the_Chosen_of_Indar!
qstr__Word_reaches_you_that_Koningur_Vald _Word_reaches_you_that_Koningur_Valdis_has_employed_several_Vanskerry_Jarls_as_a_Mercenary_Company!
